"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3338.21210391779","3740.12993679552","4215.42271772396","4510.02885515837","4520.45637800984","4525.76574134556","4527.37816503405","4597.49176141575","4639.55977492667","4936.75637471884","5516.14241381737","5746.62858787242","5964.57000423884","6479.77779145453","6791.95731196538","7008.80574641699","7361.07413753312","7444.30252641197","7636.84135733543","7558.04785083857","7715.95031849724","7855.69828660257","8121.15294169971","8179.04988331871","8480.13962187029","8583.13830062634","8448.04345617454","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.9109007466","26261.1259418547","27038.8767248633","28362.5661275732","28938.4392651508","30621.6915800819","31787.7790998267","33613.3724699575","35044.9513449448","36579.5634273514","40535.2082576999","43976.0925063775","43706.034736478","45797.3203552513","47835.4392260251","49877.2841082861","53949.4237061828","56640.9889952538","58288.6120944144","55320.1617108278","55254.2141192067","54984.5103947777","53097.6962878821","52436.056406239","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2396.11496689992","2555.46885243457","2604.90637933615","2726.41016519079","2857.41341752817","2993.81094933821","3119.28235336203","3264.94703670241","3399.2543857961","3399.73492700833","3497.27947511032","3570.0567605005","3647.57124523892","3753.0508490101","3946.70857633322","4180.31823540514","4438.62465045884","4684.94245010811","4986.88053332403","5108.87359361606","5298.08451219437","5598.50844451487","5899.64186063859","6303.06642034157","6662.54682532115","6954.30176728424","7236.08947056375","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6686.08048384202","6891.97512943256","6898.70405298695","7271.50475187872","7696.41028562723","8072.95461174487","8268.48537027835","8558.93042375708","8547.15458315978","8588.01964024939","9012.76401799382","9216.76517492799","9515.49239448841","9690.57940994869","10401.9413844611","10951.2747805631","11604.8635489813","12503.6092795189","13262.8005447414","13215.4256842597","14244.9787898614","14973.0984736747","15396.6223446724","15968.2920788878","16191.743882812","15615.3430536538","15127.8100965515","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8595.21093112885","8505.49957696885","8175.07838331029","8407.52074144816","8727.45463463268","9057.3581374901","9553.0609428334","10138.9025310846","10592.4141946952","10750.5598292926","11445.4449153531","11393.7651491871","11626.13609519","12080.7245026836","12549.1358455374","13421.3854566996","14563.1606170896","15153.2981628391","15446.3471506847","14872.9915090205","15035.1870256305","15404.7852269344","15680.3765563272","15870.0474126331","16114.4117512136","16386.5361306413","16815.5703438327","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54726.5642826069","56686.6568810333","59033.1709230392","58946.1281739914","60426.8458368863","62787.2531248313","64153.1820484727","62779.1078038378","61685.8075984263","63143.4760880756","65034.8346589503","66960.5208174901","69246.7481773335","71337.235205243","72411.5752831565","73873.2902403918","78398.1896570985","79616.870305081","78682.9808251747","76964.3177723928","78923.3904740313","82434.8830910215","83504.3025184817","81827.2734606771","80152.1391841569","79429.0000205702","77440.884427896","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1502.88065800944","1546.55879821722","1672.51816898437","1774.39301361051","1926.23762468771","2112.16835899211","2251.1591428914","2369.51071187459","2474.17370780244","2637.73005973375","2804.93275688453","3019.00092965503","3300.16293059307","3524.92675279858","3734.48887014555","4026.34187596839","4331.46190597585","5131.41037736024","5372.13242864557","5664.1278051614","6289.81436412947","6805.87845575689","7162.29347421935","7317.33741383861","7759.7606503751","8236.35647065197","8743.98557127618","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5242.045646628","5661.04598551432","5798.94174735396","5893.36207644759","6082.78163415991","6491.72809932828","6843.10854841937","7364.74142979714","7354.74811784156","8043.51279510597","8251.81944630696","8332.79662284065","8848.10437350301","9314.3957135965","9695.19342448418","10313.6111860254","11346.0494876427","12413.2856750266","13226.6064832131","12098.7929868102","13064.4662321305","13889.2704652368","14506.885225793","16111.1091399542","16764.447659193","16350.4743355753","16734.851978794","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","602.549493843312","603.793268019751","562.730514840217","562.530413059777","586.708614031531","625.773350163315","596.921881226275","624.504665956661","646.240809442282","665.121822502435","649.459045704182","679.93494423692","701.535794400747","664.315058517633","710.41096696699","726.866366553463","771.146741446285","813.805389395986","833.252964076624","842.522224144834","870.044080916885","911.655946889643","963.564013916564","618.5146822517","633.918764759889","666.958171946599","698.889607546679","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20107.8306877283","20060.6728229815","20446.6282009294","21255.0535745257","22465.8030545629","23354.2721887713","23904.848934067","25087.9972576757","26117.6117299565","27656.6769217414","29185.3550587258","30073.912805211","30851.3114815056","32189.0615956597","33754.8695616172","36134.6022423077","38009.875996482","39441.9677890234","40277.6193121099","38791.0746857483","40027.2402088674","41565.2712210369","42145.0978611317","44097.6064232561","45082.0096318293","44204.9465819306","44025.1834261624","",
