iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
GAB	Gabon	267667	194.5948	0	Africa	1	25	French	.	.	Fang	French	.	.	Mbere	Punu	.	.	FRA	.	.	.	.	.	.
GBR	United Kingdom	244110	185.8346	0	Europe	1	25	English	.	.	English	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GEO	Georgia	69700	99.30022	0	Asia	1	25	Georgian	.	.	Georgian	.	.	.	Mingrelian	.	.	.	RUS	.	.	.	TUR	.	.
GHA	Ghana	238538	183.7014	0	Africa	1	25	English	.	.	Akan	.	.	.	English	Éwé	.	.	GBR	.	.	.	.	.	.
GIN	Guinea	245857	186.4984	0	Africa	1	25	French	.	.	French	Pulaar	Maninka	.	Susu	.	.	.	FRA	.	.	.	.	.	.
GMB	Gambia	11295	39.97394	0	Africa	1	20	English	.	.	English	Mandinka	Pulaar	.	Wolof	.	.	.	GBR	.	.	.	.	.	.
GNB	Guinea-Bissau	36125	71.48875	0	Africa	1	14	Portuguese	.	.	Balanta	Madjank	Crioulo Upper Guinea	.	Mandinka	.	.	.	PRT	.	.	.	.	.	.
GNQ	Equatorial Guinea	28051	62.99527	0	Africa	1	16	Spanish	French	.	Fang	Spanish	.	.	Bube	.	.	.	ESP	.	.	.	.	.	.
GRC	Greece	131621	136.4572	0	Europe	1	25	Greek	.	.	Greek	.	.	.	.	.	.	.	TUR	.	.	.	.	.	.
GRD	Grenada	345	6.986238	0	America	1	7	English	.	.	English	Windward Caribbean Creole English	.	.	.	.	.	.	GBR	.	.	.	FRA	.	.
GTM	Guatemala	108889	124.1154	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
GUY	Guyana	214970	174.3905	0	America	1	25	English	.	.	English	Hindustani Caribbean	Guyanese Creole English	.	.	.	.	.	GBR	.	.	.	NLD	.	.
