Indicator	iso3	Year	Value	Flag
SP_POP_GROW	BFA	2003	2.89174	
SP_POP_GROW	BFA	2004	2.93205	
SP_POP_GROW	BFA	2005	2.9786	
SP_POP_GROW	BFA	2006	3.02536	
SP_POP_GROW	BFA	2007	3.05956	
SP_POP_GROW	BFA	2008	3.07213	
SP_POP_GROW	BFA	2009	3.05863	
SP_POP_GROW	BFA	2010	3.0277700000000003	
SP_POP_GROW	BFA	2011	2.9920400000000003	
SP_POP_GROW	BFA	2012	2.96044	
SP_POP_GROW	BFA	2013	2.93257	
SP_POP_GROW	BFA	2014	2.91102	
SP_POP_GROW	BFA	2015	2.89347	
SP_POP_GROW	BDI	2003	3.3145599999999997	
SP_POP_GROW	BDI	2004	3.45784	
SP_POP_GROW	BDI	2005	3.4961599999999997	
SP_POP_GROW	BDI	2006	3.5151199999999996	
SP_POP_GROW	BDI	2007	3.5444400000000003	
SP_POP_GROW	BDI	2008	3.5445599999999997	
SP_POP_GROW	BDI	2009	3.51928	
SP_POP_GROW	BDI	2010	3.4772300000000005	
SP_POP_GROW	BDI	2011	3.4186400000000003	
SP_POP_GROW	BDI	2012	3.35885	
SP_POP_GROW	BDI	2013	3.31627	
SP_POP_GROW	BDI	2014	3.2978	
SP_POP_GROW	BDI	2015	3.29239	
SP_POP_GROW	KHM	2003	1.71392	
SP_POP_GROW	KHM	2004	1.62317	
SP_POP_GROW	KHM	2005	1.5717700000000001	
SP_POP_GROW	KHM	2006	1.52954	
SP_POP_GROW	KHM	2007	1.49221	
SP_POP_GROW	KHM	2008	1.4819	
SP_POP_GROW	KHM	2009	1.50068	
SP_POP_GROW	KHM	2010	1.53819	
SP_POP_GROW	KHM	2011	1.58525	
SP_POP_GROW	KHM	2012	1.62555	
SP_POP_GROW	KHM	2013	1.6469900000000002	
SP_POP_GROW	KHM	2014	1.6416	
SP_POP_GROW	KHM	2015	1.6163100000000001	
SP_POP_GROW	CMR	2003	2.58357	
SP_POP_GROW	CMR	2004	2.5741400000000003	
SP_POP_GROW	CMR	2005	2.56714	
SP_POP_GROW	CMR	2006	2.5603700000000003	
SP_POP_GROW	CMR	2007	2.55349	
SP_POP_GROW	CMR	2008	2.5478099999999997	
SP_POP_GROW	CMR	2009	2.54323	
SP_POP_GROW	CMR	2010	2.53864	
SP_POP_GROW	CMR	2011	2.53383	
SP_POP_GROW	CMR	2012	2.52674	
SP_POP_GROW	CMR	2013	2.51515	
SP_POP_GROW	CMR	2014	2.49811	
SP_POP_GROW	CMR	2015	2.4771400000000003	
SP_POP_GROW	CPV	2003	1.58575	
SP_POP_GROW	CPV	2004	1.35459	
SP_POP_GROW	CPV	2005	1.1109	
SP_POP_GROW	CPV	2006	0.84852	
SP_POP_GROW	CPV	2007	0.6280100000000001	
SP_POP_GROW	CPV	2008	0.52761	
SP_POP_GROW	CPV	2009	0.58712	
SP_POP_GROW	CPV	2010	0.75861	
SP_POP_GROW	CPV	2011	0.97004	
SP_POP_GROW	CPV	2012	1.14677	
SP_POP_GROW	CPV	2013	1.26732	
SP_POP_GROW	CPV	2014	1.30206	
SP_POP_GROW	CPV	2015	1.27534	
SP_POP_GROW	CAF	2003	1.63204	
SP_POP_GROW	CAF	2004	1.6332200000000001	
SP_POP_GROW	CAF	2005	1.6836799999999998	
SP_POP_GROW	CAF	2006	1.74773	
SP_POP_GROW	CAF	2007	1.80075	
SP_POP_GROW	CAF	2008	1.84623	
SP_POP_GROW	CAF	2009	1.8766599999999998	
SP_POP_GROW	CAF	2010	1.8959599999999999	
SP_POP_GROW	CAF	2011	1.91475	
SP_POP_GROW	CAF	2012	1.93652	
SP_POP_GROW	CAF	2013	1.9545400000000002	
SP_POP_GROW	CAF	2014	1.96828	
SP_POP_GROW	CAF	2015	1.97764	
SP_POP_GROW	TCD	2003	3.82942	
SP_POP_GROW	TCD	2004	3.7455300000000014	
SP_POP_GROW	TCD	2005	3.61478	
SP_POP_GROW	TCD	2006	3.4718699999999996	
SP_POP_GROW	TCD	2007	3.3572599999999997	
SP_POP_GROW	TCD	2008	3.28723	
SP_POP_GROW	TCD	2009	3.27438	
SP_POP_GROW	TCD	2010	3.29714	
SP_POP_GROW	TCD	2011	3.32441	
SP_POP_GROW	TCD	2012	3.3340699999999996	
SP_POP_GROW	TCD	2013	3.32824	
SP_POP_GROW	TCD	2014	3.3016	
SP_POP_GROW	TCD	2015	3.2613	
SP_POP_GROW	CHL	2003	1.1812799999999999	
SP_POP_GROW	CHL	2004	1.1620700000000002	
SP_POP_GROW	CHL	2005	1.14624	
SP_POP_GROW	CHL	2006	1.13144	
SP_POP_GROW	CHL	2007	1.11766	
SP_POP_GROW	CHL	2008	1.10691	
SP_POP_GROW	CHL	2009	1.09941	
SP_POP_GROW	CHL	2010	1.0937700000000001	
SP_POP_GROW	CHL	2011	1.08871	
SP_POP_GROW	CHL	2012	1.08202	
SP_POP_GROW	CHL	2013	1.07194	
SP_POP_GROW	CHL	2014	1.05729	
SP_POP_GROW	CHL	2015	1.03888	
SP_POP_GROW	CHN	2003	0.6228600000000001	
SP_POP_GROW	CHN	2004	0.5939300000000001	
SP_POP_GROW	CHN	2005	0.58812	
SP_POP_GROW	CHN	2006	0.55837	
SP_POP_GROW	CHN	2007	0.52227	
SP_POP_GROW	CHN	2008	0.51239	
SP_POP_GROW	CHN	2009	0.49738000000000004	
SP_POP_GROW	CHN	2010	0.4829600000000001	
SP_POP_GROW	CHN	2011	0.47915	
SP_POP_GROW	CHN	2012	0.48723	
SP_POP_GROW	CHN	2013	0.49371000000000004	
SP_POP_GROW	CHN	2014	0.50631	
SP_POP_GROW	CHN	2015	0.5081399999999999	
SP_POP_GROW	COL	2003	1.38469	
SP_POP_GROW	COL	2004	1.34789	
SP_POP_GROW	COL	2005	1.3056299999999998	
SP_POP_GROW	COL	2006	1.2628700000000002	
SP_POP_GROW	COL	2007	1.22187	
SP_POP_GROW	COL	2008	1.18065	
SP_POP_GROW	COL	2009	1.13958	
SP_POP_GROW	COL	2010	1.09889	
SP_POP_GROW	COL	2011	1.0579	
SP_POP_GROW	COL	2012	1.01745	
SP_POP_GROW	COL	2013	0.9792700000000001	
SP_POP_GROW	COL	2014	0.9440000000000001	
SP_POP_GROW	COL	2015	0.9108799999999999	
SP_POP_GROW	COM	2003	2.41606	
SP_POP_GROW	COM	2004	2.40826	
SP_POP_GROW	COM	2005	2.41533	
SP_POP_GROW	COM	2006	2.42449	
SP_POP_GROW	COM	2007	2.42995	
SP_POP_GROW	COM	2008	2.4354400000000003	
SP_POP_GROW	COM	2009	2.4393	
SP_POP_GROW	COM	2010	2.4412	
SP_POP_GROW	COM	2011	2.4426799999999997	
SP_POP_GROW	COM	2012	2.4406	
SP_POP_GROW	COM	2013	2.42862	
SP_POP_GROW	COM	2014	2.40455	
SP_POP_GROW	COM	2015	2.37206	
SP_POP_GROW	COG	2003	2.26762	
SP_POP_GROW	COG	2004	2.4030299999999998	
SP_POP_GROW	COG	2005	2.61722	
SP_POP_GROW	COG	2006	2.8565099999999997	
SP_POP_GROW	COG	2007	3.03482	
SP_POP_GROW	COG	2008	3.10304	
SP_POP_GROW	COG	2009	3.03265	
SP_POP_GROW	COG	2010	2.87644	
SP_POP_GROW	COG	2011	2.70185	
SP_POP_GROW	COG	2012	2.57003	
SP_POP_GROW	COG	2013	2.49182	
SP_POP_GROW	COG	2014	2.48635	
SP_POP_GROW	COG	2015	2.52867	
SP_POP_GROW	CRI	2003	1.53283	
SP_POP_GROW	CRI	2004	1.46927	
SP_POP_GROW	CRI	2005	1.44175	
SP_POP_GROW	CRI	2006	1.42458	
SP_POP_GROW	CRI	2007	1.39835	
SP_POP_GROW	CRI	2008	1.36475	
SP_POP_GROW	CRI	2009	1.3177299999999998	
SP_POP_GROW	CRI	2010	1.26225	
SP_POP_GROW	CRI	2011	1.20744	
SP_POP_GROW	CRI	2012	1.15967	
SP_POP_GROW	CRI	2013	1.11714	
SP_POP_GROW	CRI	2014	1.08143	
SP_POP_GROW	CRI	2015	1.05054	
SP_POP_GROW	CIV	2003	1.7655900000000002	
SP_POP_GROW	CIV	2004	1.76225	
SP_POP_GROW	CIV	2005	1.8377299999999999	
SP_POP_GROW	CIV	2006	1.9317799999999998	
SP_POP_GROW	CIV	2007	2.01235	
SP_POP_GROW	CIV	2008	2.09575	
SP_POP_GROW	CIV	2009	2.1736400000000002	
SP_POP_GROW	CIV	2010	2.24437	
SP_POP_GROW	CIV	2011	2.31975	
SP_POP_GROW	CIV	2012	2.39046	
SP_POP_GROW	CIV	2013	2.43358	
SP_POP_GROW	CIV	2014	2.44243	
SP_POP_GROW	CIV	2015	2.42752	
SP_POP_GROW	HRV	2003		n
SP_POP_GROW	HRV	2004	-0.02253	
SP_POP_GROW	HRV	2005	0.06756000000000001	
SP_POP_GROW	HRV	2006	-0.04503	
SP_POP_GROW	HRV	2007	-0.09013	
SP_POP_GROW	HRV	2008	-0.033639999999999996	
SP_POP_GROW	HRV	2009	-0.12252	
SP_POP_GROW	HRV	2010	-0.25539	
SP_POP_GROW	HRV	2012	-0.30566	
SP_POP_GROW	HRV	2013	-0.27851	
SP_POP_GROW	HRV	2014	-0.40734000000000004	
SP_POP_GROW	HRV	2015	-0.33050999999999997	
SP_POP_GROW	CUB	2003	0.27052	
SP_POP_GROW	CUB	2004	0.23016999999999999	
SP_POP_GROW	CUB	2005	0.18107	
SP_POP_GROW	CUB	2006	0.12555	
SP_POP_GROW	CUB	2007	0.07841000000000001	
SP_POP_GROW	CUB	2008	0.054889999999999994	
SP_POP_GROW	CUB	2009	0.06377999999999999	
SP_POP_GROW	CUB	2010	0.09459	
SP_POP_GROW	CUB	2011	0.13642	
SP_POP_GROW	CUB	2012	0.16819	
SP_POP_GROW	CUB	2013	0.17506	
SP_POP_GROW	CUB	2014	0.14604	
SP_POP_GROW	CUB	2015	0.0918	
SP_POP_GROW	CYP	2003	1.8470400000000002	
SP_POP_GROW	CYP	2004	1.75548	
SP_POP_GROW	CYP	2005	1.6363299999999998	
SP_POP_GROW	CYP	2006	1.50968	
SP_POP_GROW	CYP	2007	1.39696	
SP_POP_GROW	CYP	2008	1.3056	
SP_POP_GROW	CYP	2009	1.24348	
SP_POP_GROW	CYP	2010	1.2031100000000001	
SP_POP_GROW	CYP	2011	1.1673200000000001	
SP_POP_GROW	CYP	2012	1.12729	
SP_POP_GROW	CYP	2013	1.0875700000000001	
SP_POP_GROW	CYP	2014	1.04614	
SP_POP_GROW	CYP	2015	1.0040799999999999	
SP_POP_GROW	PRK	2003	0.8613799999999999	
SP_POP_GROW	PRK	2004	0.80752	
SP_POP_GROW	PRK	2005	0.73348	
SP_POP_GROW	PRK	2006	0.65535	
SP_POP_GROW	PRK	2007	0.59086	
SP_POP_GROW	PRK	2008	0.54547	
SP_POP_GROW	PRK	2009	0.52649	
SP_POP_GROW	PRK	2010	0.52668	
SP_POP_GROW	PRK	2011	0.53266	
SP_POP_GROW	PRK	2012	0.53445	
SP_POP_GROW	PRK	2013	0.53304	
SP_POP_GROW	PRK	2014	0.52508	
SP_POP_GROW	PRK	2015	0.51232	
SP_POP_GROW	COD	2003	3.14933	
SP_POP_GROW	COD	2004	3.20397	
SP_POP_GROW	COD	2005	3.21515	
SP_POP_GROW	COD	2006	3.22316	
SP_POP_GROW	COD	2007	3.24078	
SP_POP_GROW	COD	2008	3.24648	
SP_POP_GROW	COD	2009	3.24063	
SP_POP_GROW	COD	2010	3.2265900000000003	
SP_POP_GROW	COD	2011	3.20661	
SP_POP_GROW	COD	2012	3.18542	
SP_POP_GROW	COD	2013	3.1669400000000003	
SP_POP_GROW	COD	2014	3.15318	
SP_POP_GROW	COD	2015	3.14174	
SP_POP_GROW	DJI	2003	1.49086	
SP_POP_GROW	DJI	2004	1.44174	
SP_POP_GROW	DJI	2005	1.39222	
SP_POP_GROW	DJI	2006	1.34433	
SP_POP_GROW	DJI	2007	1.30561	
SP_POP_GROW	DJI	2008	1.28409	
SP_POP_GROW	DJI	2009	1.28342	
SP_POP_GROW	DJI	2010	1.2968899999999999	
SP_POP_GROW	DJI	2011	1.3153299999999999	
SP_POP_GROW	DJI	2012	1.32956	
SP_POP_GROW	DJI	2013	1.33733	
SP_POP_GROW	DJI	2014	1.3350899999999999	
SP_POP_GROW	DJI	2015	1.32505	
SP_POP_GROW	DMA	2003	0.36035	
SP_POP_GROW	DMA	2004	0.38039	
SP_POP_GROW	DMA	2005	0.30809000000000003	
SP_POP_GROW	DMA	2006	0.20958000000000002	
SP_POP_GROW	DMA	2007	0.14843	
SP_POP_GROW	DMA	2008	0.1214	
SP_POP_GROW	DMA	2009	0.1607	
SP_POP_GROW	DMA	2010	0.2419800000000001	
SP_POP_GROW	DMA	2011	0.32966999999999996	
SP_POP_GROW	DMA	2012	0.39555999999999997	
SP_POP_GROW	DMA	2013	0.4454	
