Indicator	iso3	Time	Value	Flag
XGOVEXP_IMF_1	JOR	1999	5.9101300000000005	
XGOVEXP_IMF_1	JOR	2001	6.5610800000000005	
XGOVEXP_IMF_1	JOR	2002	6.49016	
XGOVEXP_IMF_1	JOR	2003	6.48086	
XGOVEXP_IMF_1	JOR	2004	5.84681	
XGOVEXP_IMF_1	JOR	2005	5.81251	
XGOVEXP_IMF_1	JOR	2006	5.07436	
XGOVEXP_IMF_1	JOR	2007	4.80115	
XGOVEXP_IMF_1	JOR	2008	5.04418	
XGOVEXP_IMF_1	JOR	2009	4.81111	
XGOVEXP_IMF_1	JOR	2011	4.97766	
XGOVEXP_IMF	NLD	1999	10.48555	
XGOVEXP_IMF	NLD	2000	11.07563	
XGOVEXP_IMF	NLD	2001	11.01714	
XGOVEXP_IMF	NLD	2002	11.0992	
XGOVEXP_IMF	NLD	2003	11.40471	
XGOVEXP_IMF	NLD	2004	11.7214	
XGOVEXP_IMF	NLD	2005	12.19349	
XGOVEXP_IMF	NLD	2006	11.83044	
XGOVEXP_IMF	NLD	2007	11.62496	
XGOVEXP_IMF	NLD	2008	11.69202	
XGOVEXP_IMF	NLD	2009	11.41065	
XGOVEXP_IMF	NLD	2010	11.54293	
XGOVEXP_IMF	NLD	2011	11.76501	
XGOVEXP_IMF	NLD	2012	11.62662	
XGOVEXP_IMF	NLD	2013	12.08611	
XGOVEXP_IMF	NLD	2014	11.97317	
XGOVEXP_IMF_2	SVN	2001	2.99293	‡
XGOVEXP_IMF_2	SVN	2002	3.09043	‡
XGOVEXP_IMF_2	SVN	2003	3.05941	‡
XGOVEXP_IMF_2	SVN	2010	1.84016	
XGOVEXP_IMF_2	SVN	2011	1.81063	
XGOVEXP_IMF_2	SVN	2012	1.88934	
XGOVEXP_IMF_2	SVN	2013	1.49177	
XGOVEXP_IMF_1	RWA	2000	10.16367	‡
XGOVEXP_IMF_1	RWA	2005	7.581060000000001	
XGOVEXP_IMF_1	RWA	2007	8.68661	
XGOVEXP_IMF_1	RWA	2008	7.10872	
XGOVEXP_IMF_1	RWA	2010	6.383369999999998	
XGOVEXP_IMF_1	RWA	2011	4.89949	
XGOVEXP_IMF_1	RWA	2012	5.77109	
XGOVEXP_IMF_1	RWA	2013	4.99731	
XGOVEXP_IMF_1	RWA	2015	4.07908	‡
XGOVEXP_IMF_4	NOR	1999		n
XGOVEXP_IMF_4	NOR	2000		n
XGOVEXP_IMF_4	NOR	2001		n
XGOVEXP_IMF_4	NOR	2002		n
XGOVEXP_IMF_4	NOR	2003		n
XGOVEXP_IMF_4	NOR	2004		n
XGOVEXP_IMF_4	NOR	2005		n
XGOVEXP_IMF_4	NOR	2006		n
XGOVEXP_IMF_4	NOR	2007		n
XGOVEXP_IMF_4	NOR	2008		n
XGOVEXP_IMF_4	NOR	2009		n
XGOVEXP_IMF_4	NOR	2010		n
XGOVEXP_IMF_4	DOM	2007		a
XGOVEXP_IMF_4	DOM	2008		a
XGOVEXP_IMF_4	DOM	2009		a
XGOVEXP_IMF_4	DOM	2010		a
XGOVEXP_IMF_4	DOM	2011		a
XGOVEXP_IMF_4	DOM	2012		a
XGOVEXP_IMF_4	DOM	2013		a
XGOVEXP_IMF_4	DOM	2014		a
XGOVEXP_IMF_4	DOM	2015		a
XGOVEXP_IMF	BGD	1999	18.12979	
XGOVEXP_IMF	BGD	2000	20.49042	
XGOVEXP_IMF	BGD	2001	18.58478	
XGOVEXP_IMF	BGD	2002	15.6938	
XGOVEXP_IMF	BGD	2003	16.68163	
XGOVEXP_IMF	BGD	2004	15.953120000000002	
XGOVEXP_IMF	BGD	2006	17.33653	
XGOVEXP_IMF	BGD	2007	18.1534	
XGOVEXP_IMF	BGD	2008	17.81619	
XGOVEXP_IMF	BGD	2009	14.02987	
XGOVEXP_IMF	BGD	2011	16.79397	
XGOVEXP_IMF	BGD	2012	15.59324	
XGOVEXP_IMF	BGD	2013	13.822820000000002	‡
XGOVEXP_IMF_02	COM	2002	0.06978	‡
XGOVEXP_IMF_02	COM	2008		n
XGOVEXP_IMF_02	COM	2011	1.5623	
XGOVEXP_IMF_02	COM	2012	1.36038	
XGOVEXP_IMF_02	COM	2013	1.1497	
XGOVEXP_IMF_02	COM	2014	1.38543	
XGOVEXP_IMF_02	COM	2015	1.084	
XGOVEXP_IMF_5T8	KHM	2009	0.52832	
XGOVEXP_IMF_5T8	KHM	2010	0.45061	
XGOVEXP_IMF_5T8	KHM	2011	0.41033	
XGOVEXP_IMF_5T8	KHM	2013	0.60468	
XGOVEXP_IMF_1	PAN	1999	7.28925	
XGOVEXP_IMF_1	PAN	2000	7.460739999999999	
XGOVEXP_IMF_1	PAN	2001	5.55853	
XGOVEXP_IMF_1	PAN	2002	5.44158	
